batter,game_year,name_last,name_first,plate_appearance,speciality_score
110029.0,2014.0,abreu,bobby,647,241.20504422330893
112526.0,2014.0,colon,bartolo,216,127.06175680859224
112526.0,2016.0,colon,bartolo,232,64.52380952380952
114739.0,2014.0,giambi,jason,262,180.4375212802179
116338.0,2014.0,hunter,torii,2032,481.78826478937907
116338.0,2015.0,hunter,torii,1134,279.2507498619591
116380.0,2014.0,ibanez,raul,1102,250.53397275506708
116539.0,2014.0,jeter,derek,2214,342.4674751088385
117244.0,2014.0,konerko,paul,845,250.37295524885968
120074.0,2014.0,ortiz,david,2384,284.3608557319375
120074.0,2015.0,ortiz,david,1433,345.7497432247926
120074.0,2016.0,ortiz,david,2472,326.3660220580609
121347.0,2015.0,rodriguez,alex,1465,220.70898570703508
121347.0,2016.0,rodriguez,alex,915,257.8293449333038
133380.0,2014.0,ramirez,aramis,1786,320.19341613733616
133380.0,2015.0,ramirez,aramis,1072,311.34140228562086
134181.0,2014.0,beltre,adrian,2304,347.1046532077731
134181.0,2015.0,beltre,adrian,1543,320.798842613117
134181.0,2016.0,beltre,adrian,2442,320.15104055051376
134181.0,2017.0,beltre,adrian,1574,253.1177818947115
134181.0,2018.0,beltre,adrian,1857,256.6349560086921
136767.0,2014.0,chavez,eric,344,201.13791763791764
136860.0,2014.0,beltran,carlos,1682,393.08353111065134
136860.0,2015.0,beltran,carlos,1243,299.0928344017214
136860.0,2016.0,beltran,carlos,2186,329.6867248088349
136860.0,2017.0,beltran,carlos,2014,270.7783313046235
150029.0,2014.0,werth,jayson,2741,261.5636810252354
150029.0,2015.0,werth,jayson,1072,233.75202182690703
150029.0,2016.0,werth,jayson,2785,259.13388013693975
150029.0,2017.0,werth,jayson,1405,225.1194876754275
150040.0,2014.0,molina,jose,905,250.50444733006532
150093.0,2014.0,soriano,alfonso,892,289.54908615675606
150212.0,2014.0,cuddyer,michael,727,271.76573912125343
150212.0,2015.0,cuddyer,michael,626,335.00188217579523
150229.0,2014.0,pierzynski,a. j.,1243,530.2864073872282
150229.0,2015.0,pierzynski,a. j.,889,376.45905120130146
150229.0,2016.0,pierzynski,a. j.,822,425.9948655364332
150289.0,2014.0,pena,carlos,212,341.8397435897436
150348.0,2014.0,mcdonald,john,361,253.27182077182076
150359.0,2014.0,burnett,a. j.,260,163.19590892548223
217100.0,2014.0,bloomquist,willie,497,298.41139575571077
218596.0,2014.0,hudson,tim,263,212.72210052330536
276055.0,2014.0,dunn,adam,2171,207.71478248744262
276519.0,2014.0,rollins,jimmy,2505,267.9829026611727
276519.0,2015.0,rollins,jimmy,1163,281.705908510694
276519.0,2016.0,rollins,jimmy,679,255.55137844611525
285064.0,2014.0,vogelsong,ryan,247,205.00626566416042
285078.0,2014.0,hamilton,josh,1423,331.3705010254151
285078.0,2015.0,hamilton,josh,647,324.9621691416923
285079.0,2017.0,dickey,r. a.,212,250.6950285961361
346795.0,2014.0,chavez,endy,955,304.27245897973285
346798.0,2014.0,lohse,kyle,272,191.56634897360703
346857.0,2014.0,punto,nick,940,350.09978817649613
346874.0,2014.0,uribe,juan,1445,325.1271978481923
346874.0,2015.0,uribe,juan,901,271.10095314042684
346874.0,2016.0,uribe,juan,933,364.8076923076923
400085.0,2014.0,suzuki,ichiro,1516,287.3306675317225
400085.0,2015.0,suzuki,ichiro,1028,359.21379602565656
400085.0,2016.0,suzuki,ichiro,1448,340.4816511421736
400085.0,2017.0,suzuki,ichiro,865,260.6317814720083
400121.0,2014.0,martinez,victor,2615,331.894718172408
400121.0,2015.0,martinez,victor,1396,424.70341448597514
400121.0,2016.0,martinez,victor,2290,297.97721684215895
400121.0,2017.0,martinez,victor,1652,369.82769111315093
400121.0,2018.0,martinez,victor,1894,325.58259325329743
400284.0,2014.0,utley,chase,2519,329.3630362355278
400284.0,2015.0,utley,chase,705,400.9269921165614
400284.0,2016.0,utley,chase,2224,296.02535475279495
400284.0,2017.0,utley,chase,1398,292.32333175296304
400284.0,2018.0,utley,chase,738,260.72646379097995
405395.0,2014.0,pujols,albert,2580,348.109970269296
405395.0,2015.0,pujols,albert,1523,304.83286361317084
405395.0,2016.0,pujols,albert,2512,325.6808931654492
405395.0,2017.0,pujols,albert,2478,280.79918068934484
405395.0,2018.0,pujols,albert,1757,286.24001467910443
406878.0,2014.0,roberts,brian,1402,256.87037728488383
407489.0,2014.0,overbay,lyle,1135,339.8471726030257
407781.0,2014.0,byrd,marlon,2368,272.9748528094897
407781.0,2015.0,byrd,marlon,1314,244.09611039456283
407781.0,2016.0,byrd,marlon,493,204.73600904688146
407793.0,2016.0,lackey,john,235,146.46167557932264
407793.0,2017.0,lackey,john,222,144.50799200799202
407812.0,2014.0,holliday,matt,2559,349.28261702217605
407812.0,2015.0,holliday,matt,298,305.0226946966077
407812.0,2016.0,holliday,matt,1563,311.1839062386774
407812.0,2017.0,holliday,matt,1738,246.5541117084237
407812.0,2018.0,holliday,matt,307,189.09649490294652
407822.0,2014.0,de la rosa,jorge,207,242.5327812284334
407833.0,2014.0,buck,john,380,200.33874158473816
407862.0,2014.0,johnson,reed,698,449.36585954989596
407885.0,2014.0,ellis,mark,850,236.6852070896462
407886.0,2014.0,ludwick,ryan,1506,293.8451791422412
407893.0,2014.0,teixeira,mark,2084,393.3817373664007
